STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
VN110206,MYBVN1102067,RP II IMTN 5.550% 17.06.2021,02-JAN-2020,3.814,3.773,3.732,102.435,102.493,102.552,1.39,2.646,-.005,-.006,-.007,-.002,-.001,.001,0
VO110207,MYBVO1102073,RP II IMTN 5.700% 17.06.2022,02-JAN-2020,3.931,3.89,3.849,104.101,104.199,104.297,2.28,6.493,.001,0,-.001,-.012,-.009,-.007,0
VP110208,MYBVP1102088,RP II IMTN 5.150% 16.06.2023,02-JAN-2020,3.824,3.784,3.744,104.25,104.382,104.513,3.148,11.913,-.001,-.001,-.001,-.003,-.003,-.004,0
VQ110209,MYBVQ1102094,RP II IMTN 5.250% 17.06.2024,02-JAN-2020,3.902,3.862,3.822,105.463,105.631,105.798,3.96,18.614,0,0,0,-.007,-.006,-.007,0
VR110210,MYBVR1102100,RP II IMTN 5.350% 17.06.2025,02-JAN-2020,3.98,3.94,3.9,106.658,106.86,107.063,4.726,26.442,0,0,0,-.006,-.007,-.006,0
VS110211,MYBVS1102116,RP II IMTN 5.450% 17.06.2026,02-JAN-2020,4.059,4.019,3.979,107.829,108.065,108.301,5.449,35.259,0,0,0,-.006,-.006,-.006,0
VT110212,MYBVT1102122,RP II IMTN 5.500% 17.06.2027,02-JAN-2020,4.119,4.079,4.039,108.787,109.055,109.324,6.14,45.006,-.001,-.001,-.001,.001,.001,.001,0
VU110213,MYBVU1102138,RP II IMTN 5.600% 16.06.2028,02-JAN-2020,4.172,4.132,4.092,110.083,110.382,110.683,6.784,55.391,0,0,0,-.005,-.006,-.006,0
VV110214,MYBVV1102144,RP II IMTN 5.700% 15.06.2029,02-JAN-2020,4.219,4.179,4.139,111.442,111.773,112.105,7.39,66.377,0,0,0,-.006,-.006,-.006,0
VN110216,MYBVN1102166,SEB IMTN 5.150% 23.06.2021,02-JAN-2020,3.415,3.385,3.355,102.47,102.514,102.557,1.412,2.716,0,0,0,-.009,-.009,-.01,2.3
