STOCK CODE,ISIN CODE,STOCK NAME,VALUE DATE,EVAL UPPER THRESHOLD YIELD,EVAL MID YIELD,EVAL LOWER THRESHOLD YIELD,EVAL LOWER THRESHOLD PRICE,EVAL MID PRICE,EVAL UPPER THRESHOLD PRICE,MODIFIED DURATION,CONVEXITY,EVAL UPPER THRESHOLD YIELD CHANGE,EVAL MID YIELD CHANGE,EVAL LOWER THRESHOLD YIELD CHANGE,EVAL LOWER THRESHOLD PRICE CHANGE,EVAL MID PRICE CHANGE,EVAL UPPER THRESHOLD PRICE CHANGE,COMPOSITE LIQUIDITY SCORE (T-1)
PU140014,MYBPU1400146,TNB WE 5.480% 30.01.2031 - Tranche 14,02-DEC-2019,4.011,3.967,3.923,113.104,113.528,113.955,8.376,87.219,-.002,0,.002,.012,-.008,-.027,1.3
PV140015,MYBPV1400151,TNB WE 5.500% 30.07.2031 - Tranche 15,02-DEC-2019,4.041,3.992,3.943,113.452,113.941,114.434,8.652,93.503,-.002,0,.002,.013,-.008,-.028,0
PV140016,MYBPV1400169,TNB WE 5.520% 30.01.2032 - Tranche 16,02-DEC-2019,4.05,4.006,3.962,113.998,114.453,114.911,8.922,99.922,-.002,0,.002,.014,-.008,-.029,1.3
PW140017,MYBPW1400175,TNB WE 5.540% 30.07.2032 - Tranche 17,02-DEC-2019,4.061,4.022,3.983,114.519,114.937,115.356,9.185,106.429,-.002,0,.002,.014,-.007,-.029,2
PW140018,MYBPW1400183,TNB WE 5.760% 28.01.2033 - Tranche 18,02-DEC-2019,4.11,4.066,4.022,116.629,117.119,117.611,9.368,111.74,-.002,0,.002,.014,-.008,-.031,1.3
PX140019,MYBPX1400199,TNB WE 5.780% 29.07.2033 - Tranche 19,02-DEC-2019,4.131,4.082,4.033,117.072,117.634,118.2,9.618,118.366,-.002,0,.002,.015,-.008,-.031,0
PX140020,MYBPX1400207,TNB WE 5.800% 30.01.2034 - Tranche 20,02-DEC-2019,4.143,4.094,4.045,117.608,118.187,118.769,9.863,125.08,-.001,.001,.003,.004,-.019,-.044,0
VN150344,MYBVN1503447,AISL IMTN 5.35% 19.12.2025,02-DEC-2019,3.659,3.597,3.535,101.728,101.792,101.856,.996,1.51,0,0,0,-.012,-.013,-.014,2.3
VN160463,MYBVN1604633,AISL IMTN 5.500% 30.12.2026,02-DEC-2019,3.755,3.688,3.621,103.452,103.587,103.723,1.914,4.772,0,0,0,-.013,-.014,-.014,1.7
VN170115,MYBVN1701157,AISL IMTN 5.200% 15.03.2027,02-DEC-2019,3.777,3.715,3.653,103.078,103.215,103.353,2.123,5.708,0,0,0,-.011,-.012,-.011,2
VN180079,MYBVN1800793,AISL IMTN 5.230% 23.02.2028,02-DEC-2019,3.884,3.812,3.74,104.04,104.262,104.484,2.921,10.436,0,0,0,-.009,-.01,-.011,0
